242,40,26
239,38,27
238,37,25
239,39,25
240,36,25
241,38,25
239,39,26
242,37,25
239,38,26
243,40,28
243,39,26
242,38,27
238,38,25
241,38,26
237,35,22
247,36,25
241,39,26
230,37,23
208,37,22
197,33,20
170,30,21
135,24,20
128,22,15
133,23,19
150,26,20
153,26,20
174,30,22
166,28,22
169,30,23
166,26,19
170,28,22
176,31,23
162,29,22
142,25,19
147,26,19
138,26,17
173,32,22
193,38,27
209,41,30
210,38,24
249,43,30
228,40,32
235,38,25
223,37,27
228,38,24
216,37,25
192,32,22
205,34,22
191,31,21
197,32,23
190,31,20
185,32,22
189,32,20
185,30,20
184,32,22
195,32,23
228,37,25
235,35,26
223,35,23
220,36,24
213,34,24
211,33,24
215,37,27
218,34,25
222,37,26
225,38,28
236,38,28
233,37,24
242,39,26
247,41,26
235,40,27
231,40,27
227,38,27
222,34,25
222,37,24
219,36,24
226,38,26
232,38,26
239,40,28
248,42,31
253,45,31
249,49,34
256,49,34
263,49,30
253,43,27
260,43,28
256,43,28
259,40,29
255,37,24
256,36,25
257,37,27
266,37,28
261,41,28
222,35,21
216,36,23
233,37,24
235,41,27
233,38,25
238,41,29
246,43,31
251,44,32
266,43,32
263,44,32
245,44,31
239,45,32
240,46,33
230,45,31
222,45,30
219,40,30
227,43,31
226,44,31
232,47,34
234,46,32
225,45,33
231,44,32
228,44,30
218,45,33
225,44,33
224,46,35
218,40,30
225,42,29
226,45,30
225,43,32
225,42,30
226,43,30
230,46,31
232,45,31
233,44,30
218,39,25
237,40,27
225,37,24
226,35,24
218,35,24
199,33,22
184,30,20
186,28,22
190,32,23
197,32,27
193,30,23
202,33,22
199,39,27
217,41,33
216,39,28
228,43,30
199,35,25
195,32,22
201,33,25
210,37,25
214,38,26
239,40,27
241,43,28
242,43,30
242,42,27
242,43,28
243,43,29
244,43,29
242,42,28
240,40,28
239,41,28
240,41,28
241,42,29
240,41,30
